abuʃan	abușan
impotentsə	impotență
imprekatsie	imprecație
imprediktibil	impredictibil
impronuntsabil	impronunțabil
imputatsie	imputație
imunoloɡ	imunolog
imunoloɡə	imunologă
inamitʃitsie	inamiciție
inbus	inbus
inklude	include
iŋkomplet	incomplet
iŋkompleta	incompleta
inkredibil	incredibil
inkubator	incubator
indetʃent	indecent
indiferent	indiferent
indispensabil	indispensabil
indisponibil	indisponibil
indolent	indolent
indonezian	indonezian
indonezianə	indoneziană
indutʃe	induce
industrjal	industrial
industrializat	industrializat
inel	inel
inelar	inelar
inertsie	inerție
inestetik	inestetic
inestimabil	inestimabil
ineksplikabil	inexplicabil
ineksprimabil	inexprimabil
inferior	inferior
infern	infern
infirm	infirm
infirma	infirma
infirmare	infirmare
infirmj	infirmi
infirmier	infirmier
infirmierə	infirmieră
infirmərj	infirmări
inflamabil	inflamabil
inflatsie	inflație
infleksibil	inflexibil
influentsa	influența
influentsabil	influențabil
influentsə	influență
informa	informa
informatikə	informatică
informatsie	informație
inimitʃitsie	inimiciție
inimos	inimos
inotʃent	inocent
inovatsie	inovație
ins	ins
inskriptsie	inscripție
inseparabil	inseparabil
insertsie	inserție
insidios	insidios
insolit	insolit
inspekto̯are	inspectoare
inspektor	inspector
inspiratsie	inspirație
instabil	instabil
instantanew	instantaneu
instinkt	instinct
institutsie	instituție
institutsiː	instituții
institutsional	instituțional
instrukto̯are	instructoare
instruktor	instructor
instrumental	instrumental
insular	insular
insurmontabil	insurmontabil
intakt	intact
inteɡra	integra
inteɡrabil	integrabil
inteɡral	integral
inteɡru	integru
intelektual	intelectual
intelidʒent	inteligent
intelidʒibil	inteligibil
intempestiv	intempestiv
intempestive	intempestive
intens	intens
intensifika	intensifica
intentsie	intenție
interferentsə	interferență
intermediar	intermediar
internatsional	internațional
interzitʃe	interzice
interzis	interzis
intim	intim
intimida	intimida
intoksikatsie	intoxicație
intra	intra
intranzitiv	intranzitiv
introduktiv	introductiv
inuman	inuman
inundatsie	inundație
inutil	inutil
invalid	invalid
invalida	invalida
invalidare	invalidare
invalidərj	invalidări
invalizj	invalizi
invar	invar
invariabil	invariabil
inventsie	invenție
invers	invers
investitsie	investiție
invidios	invidios
invintʃibil	invincibil
invita	invita
invitatsie	invitație
invizibil	invizibil
invulnerabil	invulnerabil
inʃj	inși
jobaɡ	iobag
jobədʒie	iobăgie
ionizatsie	ionizație
ipokrit	ipocrit
ipokritə	ipocrită
irastʃibil	irascibil
ireversibil	ireversibil
iritabil	iritabil
iritat	iritat
irlandez	irlandez
irlandezə	irlandeză
ironija	ironia
ironizator	ironizator
irosi	irosi
islam	islam
isostʃel	isoscel
isprəvnitʃel	isprăvnicel
istets	isteț
istorik	istoric
italian	italian
iteratsie	iterație
jubi	iubi
jubire	iubire
jubire̯a	iubirea
julije	iulie
junije	iunie
jute	iute
ivoriw	ivoriu
izbɨndə	izbândă
izoɡam	izogam
izolat	izolat
izvor	izvor
ʒ	j
ʒaketə	jachetă
ʒaɡuar	jaguar
ʒale	jale
ʒale̯a	jalea
ʒalej	jalei
ʒalnik	jalnic
ʒamajkan	jamaican
ʒandarm	jandarm
ʒaponezə	japoneză
ʒasp	jasp
ʒavrə	javră
ʒder	jder
ʒeɡ	jeg
ʒeɡos	jegos
ʒerpeli	jerpeli
ʒerpeliturə	jerpelitură
ʒidan	jidan
ʒiɡni	jigni
ʒir	jir
ʒne̯apən	jneapăn
ʒnepenj	jnepeni
ʒo̯akə	joacă
ʒok	joc
ʒoj	joi
dʒojnt	joint
dʒokər	joker
ʒos	jos
ʒul	joule
ʒovialitate	jovialitate
ʒuka	juca
ʒukat	jucat
ʒukətor	jucător
ʒude	jude
ʒudeka	judeca
ʒudekat	judecat
ʒudekatə	judecată
ʒudets	județ
ʒudetse	județe
ʒuɡar	jugar
ʒuɡular	jugular
ʒuɡənaʃ	jugănaș
ʒuʒubə	jujubă
ʒumate	jumate
ʒune	june
ʒur	jur
ʒura	jura
ʒurare	jurare
ʒurat	jurat
ʒurisdiktsie	jurisdicție
ʒurist	jurist
ʒuristə	juristă
ʒurəminte	jurăminte
ʒurəmɨnt	jurământ
ʒust	just
ʒustitsie	justiție
ʒuvenil	juvenil
ʒuvenilə	juvenilă
ʒuzj	juzi
ʒəratik	jăratic
kaki	kaki
kalju	kaliu
karate	karate
kiloɡram	kilogram
kirɡiz	kirghiz
kiribatian	kiribatian
koala	koala
kosovar	kosovar
kripton	kripton
kurd	kurd
kɨrɡɨz	kârgâz
l	l
la	la
labadʒiw	labagiu
lakom	lacom
laɡər	lagăr
laj	lai
laje	laie
lale̯a	lalea
lamə	lamă
lants	lanț
leptop	laptop
lasə	lasă
lat	lat
latin	latin
latrone	latrone
laudə	laudă
lavandə	lavandă
laʃ	laș
le	le
le̯apʃa	leapșa
le̯apʃə	leapșă
lebede	lebede
ledʒe	lege
ledʒendar	legendar
ledʒisla	legisla
leɡəturə	legătură
lej	lei
leʒer	lejer
lemiŋɡ	leming
lemnos	lemnos
lenevjor	lenevior
leneʃ	leneș
leo̯ajkə	leoaică
le̯o̯arkə	leoarcă
leopard	leopard
le̯orbəw	leorbău
lepidopteroloɡ	lepidopterolog
lepidopteroloɡə	lepidopterologă
lesbian	lesbian
lesbianə	lesbiană
leton	leton
letonə	letonă
lew	leu
leksikoɡraf	lexicograf
leksikoɡrafə	lexicografă
libelulə	libelulă
liber	liber
liberatsie	liberație
libertate	libertate
licid	lichid
likiditate	lichiditate
likuritʃj	licurici
lift	lift
liftə	liftă
liliakiw	liliachiu
limbi	limbi
limbut	limbut
limbə	limbă
limite	limite
limnoloɡ	limnolog
limnoloɡə	limnologă
limpede	limpede
limpeʒor	limpejor
lin	lin
lindinə	lindină
linɡow	lingou
linɡourj	lingouri
linɡvist	lingvist
liŋɡvistik	lingvistic
linɡvistikə	lingvistică
linɡvistə	lingvistă
liniar	liniar
liniat	liniat
liniʃor	linișor
liniʃte	liniște
links	linx
linə	lină
lipitʃjos	lipicios
lipit	lipit
litera	litera
literar	literar
literarizat	literarizat
literaturə	literatură
litju	litiu
litoɡraf	litograf
litoɡrafə	litografă
lituanian	lituanian
lituanianə	lituaniană
livadə	livadă
lizibil	lizibil
lobiist	lobbyist
lobiistə	lobbyistă
lok	loc
lokal	local
lokatsie	locație
lokuintsə	locuință
lokutsiune	locuțiune
lopətar	lopătar
lor	lor
lori	lori
lot	lot
lotus	lotus
lua	lua
lwa	lua
luare	luare
lwat	luat
luatsj	luați
lubenitsə	lubeniță
lutʃed	luced
lutʃid	lucid
lutʃjos	lucios
lukra	lucra
lukrare	lucrare
lukrat	lucrat
lukratsj	lucrați
lukru	lucrul
lukrul	lucrul
lukrurj	lucruri
lukruʃor	lucrușor
lukrətor	lucrător
luɡubru	lugubru
luj	lui
lume	lume
lume̯a	lumea
luminos	luminos
luminə	lumină
lumɨnare	lumânare
luna	luna
lunar	lunar
lunatik	lunatic
lunekos	lunecos
luŋɡ	lung
lundʒi	lungi
lunj	luni
lunə	lună
lupe̯askə	lupească
lupesk	lupesc
lupeʃtj	lupești
lutier	lutier
lutos	lutos
lutrə	lutră
lɨntʃed	lânced
lɨnɡə	lângă
lɨnos	lânos
ləbərtsat	lăbărțat
ləkrimos	lăcrimos
ləkrəmos	lăcrămos
ləkətuʃ	lăcătuș
ləmɨje	lămâie
ləmɨitsə	lămâiță
ləptos	lăptos
ləptukə	lăptucă
ləpturj	lăpturi
ləsa	lăsa
ləsat	lăsat
lətiʃor	lătișor
ləuda	lăuda
ləudəros	lăudăros
ləudəroʃenie	lăudăroșenie
ləudətor	lăudător
ləutar	lăutar
m	m
mak	mac
matʃedoromɨn	macedoromân
makrow	macrou
makru	macru
maestru	maestru
maɡjar	maghiar
maɡjarj	maghiari
maɡjarə	maghiară
madʒik	magic
madʒitʃian	magician
madʒitʃianə	magiciană
madʒistru	magistru
maɡnet	magnet
maɡnezju	magneziu
mahala	mahala
maj	mai
majkə	maică
majmutsə	maimuță
maleabil	maleabil
malefik	malefic
mol	mall
maltez	maltez
maltezə	malteză
mamifer	mamifer
mamut	mamut
mamə	mamă
mandolinə	mandolină
mandolə	mandolă
mane̯a	manea
manekinu	manechinul
manekinul	manechinul
manɡan	mangan
manɡustə	mangustă
manifestant	manifestant
manual	manual
maoism	maoism
mape	mape
mapə	mapă
maratonist	maratonist
maratonistə	maratonistă
marka	marca
markaʒ	marcaj
mare̯a	marea
marfə	marfă
maria	maria
marja	maria
marin	marin
martije	martie
martir	martir
martor	martor
marts	marț
martsj	marți
masakru	masacru
maskulj	masculi
maskulin	masculin
maskə	mască
masturbarɛ	masturbare
masturbatu	masturbatul
masturbatul	masturbatul
masturbatsie	masturbație
masə	masă
matematik	matematic
matematitʃian	matematician
matematitʃianə	matematiciană
materialist	materialist
materie	materie
materje	materie
mator	mator
matrakukə	matracucă
matur	matur
maur	maur
maksim	maxim
mazəre	mazăre
maʃina	mașina
maʃinj	mașini
maʃinə	mașină
maʃterə	mașteră
me̯aser	measer
mekanik	mecanic
metʃj	meci
medik	medic
medikament	medicament
medikamente	medicamente
meditʃj	medici
medikə	medică
medie	medie
mediokru	mediocru
medju	mediu
meduzə	meduză
mej	mei
melk	melc
meltʃj	melci
mele	mele
melodie	melodie
membrane	membrane
membranos	membranos
membranə	membrană
memə	memă
mentenantsə	mentenanță
mentsine	menține
mentsinere	menținere
mentsinerj	mențineri
merkur	mercur
meresɨn	meresân
merdʒe	merge
merita	merita
meriʃo̯are	merișoare
meriʃor	merișor
meriʃorj	merișori
mermeli	mermeli
mese̯an	mesean
meser	meser
mestekarə	mestecară
metaforə	metaforă
metal	metal
metaliza	metaliza
metan	metan
meteoroloɡ	meteorolog
meteorolodʒikə	meteorologică
meteoroloɡə	meteorologă
metroloɡ	metrolog
metroloɡə	metrologă
mew	meu
meʃte	mește
mi	mi
mija	mia
mja	mia
miasmatik	miasmatic
mjasmə	miasmă
mjaw	miau
mjazəno̯apte	miazănoapte
mjazəzi	miazăzi
mik	mic
mikidutsə	michiduță
mikoloɡ	micolog
mikoloɡə	micologă
mikrobioloɡ	microbiolog
mikrobiolodʒik	microbiologic
mikrobioloɡə	microbiologă
mikuts	micuț
mie	mie
mjerkurj	miercuri
mjere	miere
mjerli	mierli
mjeros	mieros
miɡrenə	migrenă
mij	mii
miime	miime
milan	milan
miliɡram	miligram
milimetrik	milimetric
mintʃinos	mincinos
mintʃunə	minciună
mine	mine
miner	miner
mineral	mineral
mineraloɡ	mineralog
mineralodʒia	mineralogia
mineralodʒie	mineralogie
mineraloɡə	mineralogă
minifotbal	minifotbal
mint	mint
mintal	mintal
minte	minte
mintos	mintos
minuskul	minuscul
minutsios	minuțios
mintsi	minți
mintsj	minți
mintsitor	mințitor
mio̯arə	mioară
mjo̯arə	mioară
mjorlaw	miorlau
mjorləi	miorlăi
mire̯asə	mireasă
miresej	miresei
miresij	miresii
mirosi	mirosi
mirositor	mirositor
mistrets	mistreț
mititel	mititel
mitolodʒik	mitologic
mizer	mizer
mizerabil	mizerabil
mizerie	mizerie
miʃka	mișca
miʃkətor	mișcător
miʃel	mișel
mitsə	miță
mlədior	mlădior
mlədios	mlădios
mləditsə	mlădiță
mo̯ale	moale
mo̯arte	moarte
mo̯arte̯a	moartea
mo̯aʃə	moașă
model	model
moderatsie	moderație
modest	modest
modifikate	modificate
moʒdre̯an	mojdrean
molitʃel	molicel
molipsi	molipsi
moliʃor	molișor
moluskə	moluscă
moluʃte	moluște
mome̯alə	momeală
momentu	momentul
momentul	momentul
moneɡask	monegasc
moneɡaʃtj	monegaști
moŋɡol	mongol
monoaksial	monoaxial
monoɡam	monogam
monolit	monolit
monometru	monometru
monoplan	monoplan
monotrem	monotrem
monotremə	monotremă
monstru	monstru
montan	montan
monument	monument
monumental	monumental
moralitate	moralitate
morkovj	morcovi
morfem	morfem
moroj	moroi
morsə	morsă
mortar	mortar
mortier	mortier
mortsj	morți
motan	motan
mototʃiklist	motociclist
mototʃikliste	motocicliste
mototʃiklistə	motociclistă
mototʃikliʃtj	motocicliști
motor	motor
motorist	motorist
motoristə	motoristă
mov	mov
moʃne̯aɡ	moșneag
moʃnedʒj	moșnegi
mre̯anə	mreană
mɨsɨ	ms
mutʃed	muced
mutʃiladʒinos	mucilaginos
mutʃiladʒiu̯	mucilagiu
mukos	mucos
muezin	muezin
muflon	muflon
muje	muie
mujere	muiere
muist	muist
mult	mult
multe	multe
multiplikatsie	multiplicație
multipolar	multipolar
multsam	mulțam
multsj	mulți
muntʃi	munci
muntʃitorime	muncitorime
muŋkə	muncă
munte	munte
munte̯an	muntean
muntene̯askə	muntenească
muntenesk	muntenesc
munteneʃtj	muntenești
muntos	muntos
mur	mur
murdar	murdar
murɡ	murg
muribund	muribund
muritor	muritor
murə	mură
musketar	muschetar
muskulos	musculos
mustatsə	mustață
mustətʃjos	mustăcios
mut	mut
mutatsie	mutație
muzew	muzeu
muzikal	muzical
muzikə	muzică
muʃkjos	mușchios
muʃtar	muștar
mutsenie	muțenie
mɨjne̞	mâine
mɨjnj	mâini
mɨltʃi	mâlci
mɨnka	mânca
mɨnkare	mâncare
mɨnkətʃjos	mâncăcios
mɨndrie	mândrie
mɨndru	mândru
mɨŋɡɨja	mângâia
mɨntui	mântui
mɨnutsə	mânuță
mɨnz	mânz
mɨnzare	mânzare
mɨnzə	mânză
mɨnə	mână
mɨrtʃed	mârced
mɨrʃav	mârșav
mɨtsə	mâță
mə	mă
mətʃeləri	măcelări
mətʃjukə	măciucă
məkəle̯andru	măcăleandru
məɡar	măgar
məɡəre̯askə	măgărească
məɡəresk	măgăresc
məɡəreʃtj	măgărești
məj	măi
məjkutsə	măicuță
məjestru	măiestru
məjor	măior
məmikə	mămică
mənuʃə	mănușă
mər	măr
mərar	mărar
mərets	măreț
məri	mări
mərj	mări
mərime	mărime
mərinimos	mărinimos
mərire	mărire
mərit	mărit
məriʃor	mărișor
mərunt	mărunt
məruntsel	mărunțel
məruntsi	mărunți
məruntsj	mărunți
məruntsiʃ	mărunțiș
mərtsiʃor	mărțișor
məskəri	măscări
məse̯a	măsea
məslin	măslin
məsliniw	măsliniu
məslinə	măslină
məsəlar	măsălar
mətanie	mătanie
mətre̯atsə	mătreață
mətuʃə	mătușă
mətəhəlos	mătăhălos
n	n
nadir	nadir
najba	naiba
naiv	naiv
nativ	nativ
natrju	natriu
natural	natural
nauruan	nauruan
nautik	nautic
naviɡa	naviga
naviɡatsie	navigație
naʃpa	nașpa
naʃte	naște
naʃtere	naștere
natsie	nație
natsional	național
ne	ne
neadaptat	neadaptat
neadekvat	neadecvat
neaʒutorat	neajutorat
ne̯am	neam
neantitʃipat	neanticipat
neapərat	neapărat
neartikulat	nearticulat
neatɨrnare	neatârnare
neaʃteptat	neașteptat
nebotezat	nebotezat
netʃesar	necesar
netʃesita	necesita
nekibzuintsə	nechibzuință
nekibzuit	nechibzuit
netʃinstit	necinstit
nekomplikat	necomplicat
nekomunikat	necomunicat
nekomutabil	necomutabil
nekondʒelat	necongelat
nekontestat	necontestat
nekopt	necopt
nekrofor	necrofor
nekuviintʃjos	necuviincios
nekuviːntʃjos	necuviincios
nedrept	nedrept
neerlandez	neerlandez
neferitʃire	nefericire
neferitʃit	nefericit
nefertilizat	nefertilizat
neɡjob	neghiob
neɡliʒent	neglijent
neɡritʃjos	negricios
neɡriw	negriu
neɡrotej	negrotei
neɡru	negru
neɡuros	neguros
neɡurə	negură
neɡustore̯askə	negustorească
neɡustoresk	negustoresc
neɡustoreʃtj	negustorești
nehalit	nehalit
nejos	neios
neʒudekat	nejudecat
neliniar	neliniar
nelukrat	nelucrat
nemaskat	nemascat
nemeritat	nemeritat
nemernik	nemernic
nemilos	nemilos
nemuritor	nemuritor
nemtse̯askə	nemțească
nemtsesk	nemțesc
nemtseʃte	nemțește
nemtseʃtj	nemțești
nenorotʃit	nenorocit
nenufar	nenufar
nenumərabil	nenumărabil
nenumərat	nenumărat
neobiʃnuit	neobișnuit
neokolonijalist	neocolonialist
neoɡam	neogam
neomenesk	neomenesc
neon	neon
nepləkut	neplăcut
nepo̯atə	nepoată
nepopular	nepopular
nepot	nepot
nepotsj	nepoți
neprevizibil	neprevizibil
nepretsuit	neprețuit
neprietenos	neprietenos
nepəsətor	nepăsător
neras	neras
nerekunoskut	nerecunoscut
nereɡal	neregal
nereɡulat	neregulat
nerezervat	nerezervat
neruʃinat	nerușinat
nesokotit	nesocotit
nesomn	nesomn
nespəlat	nespălat
nestimat	nestimat
nesətul	nesătul
net	net
neted	neted
netezi	netezi
neujtabil	neuitabil
neurokirurɡ	neurochirurg
neuroloɡ	neurolog
neuroloɡə	neurologă
neutralizat	neutralizat
neutru	neutru
nevastə	nevastă
nevoje	nevoie
nevəstujkə	nevăstuică
nevəzətor	nevăzător
neɨmpjedikat	neîmpiedicat
neɨnkredere	neîncredere
neɨndemɨnare	neîndemânare
neɨndurat	neîndurat
neɨntemejat	neîntemeiat
neʃtiintsə	neștiință
neʃtiutor	neștiutor
nikaraɡuan	nicaraguan
nikel	nichel
nitʃjkɨnd	nicicând
nitʃjo	nicio
nitʃjun	niciun
nidʒerian	nigerian
nimfə	nimfă
nimik	nimic
nimitʃitor	nimicitor
nindʒe	ninge
niŋɡəw	ningău
nins	nins
niskaj	niscai
nisip	nisip
nisipos	nisipos
nitrodʒen	nitrogen
njuean	niuean
nivel	nivel
nivelə	nivelă
niʃte	niște
no	no
nɔː	no
no̯apte	noapte
no̯apte̯a	noaptea
no̯astre	noastre
no̯astrə	noastră
nobil	nobil
nokturn	nocturn
nod	nod
nodos	nodos
noj	noi
nojan	noian
nojembrije	noiembrie
noime	noime
nominal	nominal
nominativ	nominativ
nominative	nominative
nonstop	nonstop
noptierə	noptieră
nord	nord
nordik	nordic
normal	normal
norokos	norocos
norod	norod
norvedʒian	norvegian
norə	noră
nostaldʒik	nostalgic
nostimjor	nostimior
nostru	nostru
notatsie	notație
nowa	noua
nowə	nouă
nowəle̯a	nouălea
nowəsprezetʃe	nouăsprezece
nowəsprezetʃe̯a	nouăsprezecea
nowəsprezetʃele̯a	nouăsprezecelea
nowəzetʃe̯a	nouăzecea
nowəzetʃj	nouăzeci
nowəzetʃile̯a	nouăzecilea
nowəʃpe	nouășpe
nowəʃpe̯a	nouășpea
nowəʃpele̯a	nouășpelea
noʃtri	noștri
nu	nu
nuk	nuc
nutʃj	nuci
nukə	nucă
nudism	nudism
nudist	nudist
nuferj	nuferi
nufər	nufăr
nuɡa	nuga
nujele	nuiele
numaj	numai
numerabilitate	numerabilitate
numerik	numeric
numər	număr
numəra	număra
nunta	nunta
nuntə	nuntă
nuptsial	nupțial
nurkə	nurcă
nutritsionist	nutriționist
nutritsionistə	nutriționistă
nədeʒde	nădejde
nədeʒdj	nădejdi
nədəʒdui	nădăjdui
nəframə	năframă
nəlukə	nălucă
nənəw	nănău
nəpɨrkə	năpârcă
nəpəstuit	năpăstuit
nərtos	nărtos
nəskut	născut
nəsos	năsos
nəsut	năsut
nətərəw	nătărău
nəzbutie	năzbutie
nəzbɨtie	năzbâtie
nəzdrəvan	năzdrăvan
o̯akeʃ	oacheș
o̯aje	oaie
o̯alə	oală
o̯amenj	oameni
o̯are	oare
o̯arekare	oarecare
o̯aretʃe	oarece
o̯arekɨnd	oarecând
o̯arfən	oarfăn
o̯arə	oară
o̯aspete	oaspete
o̯aspetsj	oaspeți
objektiv	obiectiv
oblete	oblete
oblets	obleț
oblik	oblic
obliɡatorju	obligatoriu
obliɡatsie	obligație
oblu	oblu
obositor	obositor
obraznik	obraznic
obrəʒor	obrăjor
obstʃen	obscen
obskur	obscur
observa	observa
observant	observant
obstinatsie	obstinație
obstruktsie	obstrucție
obtsinere	obținere
oka	oca
oktʃident	occident
otʃe̯anoɡraf	oceanograf
otʃe̯anoɡrafə	oceanografă
oke̯an	ochean
oke̯ane	ocheane
okelarj	ochelari
oki	ochi
okj	ochi
oktal	octal
oktant	octant
oktet	octet
oktombrije	octombrie
oktometru	octometru
okupa	ocupa
okupator	ocupator
okupatsie	ocupație
odora	odora
of	of
ofensator	ofensator
ofitʃialə	oficială
ofitʃiː	oficii
ofitʃju	oficiu
ofilit	ofilit
ofta	ofta
oɡlində	oglindă
oɡlinʒo̯arə	oglinjoară
oj	oi
oitsə	oiță
olandezə	olandeză
olimpik	olimpic
oliv	oliv
oloɡ	olog
om	om
oman	oman
omeni	omeni
omenos	omenos
omletə	omletă
omnipotent	omnipotent
omnipotentsə	omnipotență
omniprezent	omniprezent
omniprezentu	omniprezentul
omniprezentul	omniprezentul
omniprezentsa	omniprezența
omniprezentse	omniprezențe
omniprezentsej	omniprezenței
omnistʃient	omniscient
omodʒen	omogen
omor	omor
omu	omul
omul	omul
onkoloɡ	oncolog
onkoloɡə	oncologă
ondulat	ondulat
onest	onest
onirik	oniric
onomatopeik	onomatopeic
operatsie	operație
operatsional	operațional
oposum	oposum
opozitsie	opoziție
opri	opri
opt	opt
opta	opta
optime	optime
optimist	optimist
optsprezetʃe	optsprezece
optsprezetʃe̯a	optsprezecea
optsprezetʃele̯a	optsprezecelea
optule̯a	optulea
obzetʃe̯a	optzecea
optzetʃe̯a	optzecea
obzetʃj	optzeci
optzetʃj	optzeci
obzetʃile̯a	optzecilea
optzetʃile̯a	optzecilea
optʃpe	optșpe
optʃpe̯a	optșpea
optʃpele̯a	optșpelea
opus	opus
opərit	opărit
ora	ora
oralitate	oralitate
oranʒ	oranj
oraʃ	oraș
oraʃe	orașe
oratsie	orație
orb	orb
orbets	orbeț
orcestral	orchestral
orkestrion	orchestrion
ordin	ordin
orfan	orfan
orfik	orfic
orfism	orfism
orɡaniza	organiza
orɡanizare	organizare
orɡanizat	organizat
orɡanizator	organizator
orɡanizatorj	organizatori
orɡanizatorik	organizatoric
orɡanizərj	organizări
orɡolios	orgolios
orj	ori
orjkare	oricare
orjtʃe	orice
orjtʃine	oricine
orjkum	oricum
orjkɨnd	oricând
orjkɨt	oricât
orientare	orientare
orjunde	oriunde
orjʃikɨnd	orișicând
orna	orna
ornat	ornat
ornitoloɡ	ornitolog
ornitoloɡə	ornitologă
ornitorink	ornitorinc
oroɡrafie	orografie
ortodoks	ortodox
ortoɡrafie	ortografie
ortoped	ortoped
ortopedist	ortopedist
ortopedistə	ortopedistă
ortopedə	ortopedă
orətanie	orătanie
ostʃjor	oscior
osos	osos
ostenit	ostenit
ostroɡot	ostrogot
osu	osu
otoman	otoman
otova	otova
otrava	otrava
otravə	otravă
otrəvitor	otrăvitor
awtsajdər	outsider
owə	ouă
oviform	oviform
oksidʒen	oxigen
ozon	ozon
otsel	oțel
p	p
paket	pachet
pakete	pachete
patʃient	pacient
patʃientə	pacientă
paɡodə	pagodă
pahar	pahar
pahare	pahare
pajsprezetʃe	paisprezece
pajsprezetʃe̯a	paisprezecea
pajsprezetʃele̯a	paisprezecelea
pajʃpe	paișpe
pajʃpe̯a	paișpea
pajʃpele̯a	paișpelea
paʒ	paj
paleontoloɡ	paleontolog
paleontoloɡə	paleontologă
palid	palid
palinkə	palincă
paludə	paludă
palə	pală
pamente	pamente
panseksual	pansexual
panteon	panteon
panterə	panteră
pantof	pantof
papaɡal	papagal
papaja	papaia
paparudə	paparudă
papirus	papirus
paradoksu	paradoxul
paradoksul	paradoxul
parafina	parafina
paradʒinə	paragină
paraɡraf	paragraf
paraleloɡram	paralelogram
paralitik	paralitic
paraliza	paraliza
parasol	parasol
parazitar	parazitar
parazitolodʒie	parazitologie
parkurs	parcurs
pardesiw	pardesiu
pardon	pardon
pare	pare
paria	paria
pariw	pariu
paroh	paroh
parte	parte
partitʃipju	participiu
parvenit	parvenit
partsial	parțial
pas	pas
pasadʒer	pasager
pastelist	pastelist
pastor	pastor
pastra	pastra
pasəre	pasăre
pat	pat
patimə	patimă
patinaʒ	patinaj
patinare	patinare
patodʒenezə	patogeneză
patodʒenije	patogenie
patoloɡ	patolog
patolodʒist	patologist
patolodʒistə	patologistă
patoloɡə	patologă
patra	patra
patritʃiat	patriciat
patronaʒ	patronaj
patronit	patronit
patru	patru
patrule̯a	patrulea
patruzetʃe̯a	patruzecea
patruzetʃj	patruzeci
patruzetʃile̯a	patruzecilea
patul	patul
pauzə	pauză
pavaʒ	pavaj
pazə	pază
paʃnik	pașnic
pe	pe
pederastik	pederastic
pedestru	pedestru
pediatru	pediatru
pediatrə	pediatră
pejorativ	peiorativ
pelikan	pelican
penetratsie	penetrație
penibil	penibil
peninsular	peninsular
peninsulə	peninsulă
pensula	pensula
pensulə	pensulă
pentaɡramə	pentagramă
pentametru	pentametru
pentan	pentan
pentatlon	pentatlon
pentatlonist	pentatlonist
pentatlonistə	pentatlonistă
pentru	pentru
penumbrə	penumbră
perfid	perfid
peria	peria
perikol	pericol
perikulos	periculos
peridot	peridot
perie	perie
peristaltik	peristaltic
perlə	perlă
permanente	permanente
permis	permis
permisie	permisie
permisje	permisie
permite	permite
pernele	pernele
pernə	pernă
persan	persan
persekuta	persecuta
perso̯anə	persoană
personaʒ	personaj
perturbator	perturbator
perukier	peruchier
perukə	perucă
peruvian	peruvian
peruʃ	peruș
pervers	pervers
peskos	pescos
peskəre̯askə	pescărească
peskəresk	pescăresc
peskəreʃtj	pescărești
peskəruʃ	pescăruș
pesemne	pesemne
peste	peste
petalə	petală
petitsie	petiție
petrarkist	petrarchist
petrarkistə	petrarchistă
peʃkir	peșchir
peʃte	pește
peʃtele	peștele
peʃtiː	peștii
pfund	pfund
pjatrə	piatră
pjatsə	piață
pika	pica
pikam	picam
pikaw	picau
pitʃo̯are	picioare
pitʃor	picior
pikoɡram	picogram
pikta	picta
piktat	pictat
piktor	pictor
piktoritsə	pictoriță
pikturə	pictură
pikɨnd	picând
pikəm	picăm
pielonefritə	pielonefrită
pjept	piept
pjeptos	pieptos
pjerde	pierde
pjerdut	pierdut
pjersikə	piersică
pjese	piese
pjesə	piesă
pjetritʃikə	pietricică
pjetros	pietros
piɡment	pigment
piʒama	pijama
pilot	pilot
pilota	pilota
pilotaserə	pilotaseră
pilotatsj	pilotați
pilotə	pilotă
pinɡuin	pinguin
piramidə	piramidă
pirik	piric
piron	piron
pirop	pirop
piroksen	piroxen
piroksenit	piroxenit
pisik	pisic
pisikutsə	pisicuță
pisikə	pisică
pisoj	pisoi
pistil	pistil
pitʃipain	pitchpine
pitulitʃe	pitulice
pitura	pitura
pitə	pită
pivnitsə	pivniță
piks	pix
pizdos	pizdos
pizmaʃ	pizmaș
pitsiɡoj	pițigoi
plakə	placă
plaʒə	plajă
planetar	planetar
plasmə	plasmă
plasə	plasă
platonik	platonic
pleka	pleca
plekare	plecare
pleo̯apə	pleoapă
ple̯o̯apə	pleoapă
plesni	plesni
pletorik	pletoric
pleʃuv	pleșuv
pliktikos	plicticos
pliktisitor	plictisitor
plin	plin
plo̯aje	ploaie
plod	plod
ploitʃikə	ploicică
plointe	plointe
plowa	ploua
plumbos	plumbos
plumburiw	plumburiu
plural	plural
plus	plus
pluti	pluti
plutitor	plutitor
plutə	plută
plɨndʒe	plânge
plɨndʒeros	plângeros
plɨns	plâns
plətʃa	plăcea
plətʃere	plăcere
plətʃintə	plăcintă
pləkut	plăcut
plənui	plănui
pləpɨnd	plăpând
pləʃj	plăși
pnew	pneu
po̯arkə	poarcă
po̯artə	poartă
po̯ate	poate
podjum	podium
podoloɡ	podolog
podoloɡə	podologă
poet	poet
poetik	poetic
pofida	pofida
pofidə	pofidă
poftitʃjos	pofticios
poftim	poftim
polar	polar
poliɡam	poligam
poliɡon	poligon
poliɡonal	poligonal
poliptik	poliptic
polisier	polisier
politik	politic
politikos	politicos
politsie	poliție
poloneze	poloneze
pomada	pomada
pomadə	pomadă
pomeni	pomeni
pomenj	pomeni
pompier	pompier
pompə	pompă
